#,author,year,variable,n,n1,n2,G1,G2,G2_type,mean_G1,sd_G1,se_G1,mean_G2,sd_G2,se_G2,country,auth_year
62,Liu,2018,TST_m,16,11,5,HC,FTDP-17,FTD,539.5,76.5,23.065617860198916,505.5,188.5,84.29976275174207,China,Liu_2018
62,Liu,2018,SE_p,16,11,5,HC,FTDP-17,FTD,89.3,6.8,2.0502771431287927,60.5,33,14.758048651498612,China,Liu_2018
62,Liu,2018,N1_p,16,11,5,HC,FTDP-17,FTD,5.9,5.0,1.507556722888818,20.2,6.5,2.9068883707497264,China,Liu_2018
62,Liu,2018,N2_p,16,11,5,HC,FTDP-17,FTD,55.3,18.3,5.517657605773074,42.2,24.4,10.912011730198973,China,Liu_2018
62,Liu,2018,N3_p,16,11,5,HC,FTDP-17,FTD,18.6,7.9,2.381939622164333,22.8,20.4,9.123157348199141,China,Liu_2018
62,Liu,2018,REM_p,16,11,5,HC,FTDP-17,FTD,19.8,7.2,2.1708816809598983,12.2,13.4,5.992662179699436,China,Liu_2018
63,Montplaisir,1997,TST_m,12,6,6,HC,PSP,FTD,360,27.4,11.186003158709847,239.1,109.9,44.86648712197855,Canada,Montplaisir_1997
63,Montplaisir,1997,SE_p,12,6,6,HC,PSP,FTD,75.9,5.8,2.3678400846904055,50.9,19,7.756717518813398,Canada,Montplaisir_1997
63,Montplaisir,1997,N1_p,12,6,6,HC,PSP,FTD,21.1,6.5,2.65361388801511,40,11.6,4.735680169380811,Canada,Montplaisir_1997
63,Montplaisir,1997,N2_p,12,6,6,HC,PSP,FTD,57.9,7.8,3.184336665618132,53.6,12.6,5.143928459844674,Canada,Montplaisir_1997
